text,place,place_num,area,area_num,latlon
"Όσο να γδυθή η νύφη, έκαμ' ο γαμπρός στα μάτια","{'Αμοργός', 'Αρκαδία>Γορτυνία'}",2,"{'Αμοργός', 'Αρκαδία'}",2,"[(36.85252415, 25.89848696771565), (38.0368583, 23.6689264)]"
Όσο να πης κακογιάννη δε λες καλογιάννη;,"{'Ανάφη', 'Λακωνία'}",2,"{'Ανάφη', 'Λακωνία'}",2,"[(36.37344365, 25.77730028296469), (36.76027945, 22.79046431389755)]"
Όσο να πης κρομμύδι,"{'Μακεδονία', 'Άνδρος'}",2,"{'Μακεδονία', 'Άνδρος'}",2,"[(40.6860291, 23.6933899), (37.8408347, 24.86238235981581)]"
Όσο ο νους μου 'ς τη ρόκα τόσο να βρεθεή τ' αδράχτι,"{'Λακωνία', 'Θεσσαλία'}",2,"{'Θεσσαλία', 'Λακωνία'}",2,"[(39.5594194, 21.6848495), (36.76027945, 22.79046431389755)]"
"Όσο ο νους μου στο χωράφι, τόσο να βρεθούν τα βόδια","{'Θεσσαλία>Τρίκαλα', 'Ήπειρος>Ζαγόρι'}",2,"{'Ήπειρος', 'Θεσσαλία'}",2,"[(37.9574332, 23.7108518), (39.5594194, 21.6848495)]"
"Όσο πίν' η συμπεθέρα, τόσο καλοχαιρετάει","{'Λακωνία', 'Ανατολική Θράκη'}",2,"{'Λακωνία', 'Ανατολική Θράκη'}",2,"[(36.76027945, 22.79046431389755), (41.6759327, 26.5587225)]"
"Όσο σκεπάζ' ο ουρανός τη γη, σκεπάζ' η μάννα το παιδί","{'Ανατολική Θράκη', 'Θεσπρωτία>Παραμυθιά'}",2,"{'Ανατολική Θράκη', 'Θεσπρωτία'}",2,"[(41.6759327, 26.5587225), (39.54401235, 20.308355368968883)]"
Όσοι πιστοί,"{'Αμοργός', 'Αρκαδία>Γορτυνία', 'Μικρά Ασία>Λιβίσσι (Λειβίσσι)'}",3,"{'Αμοργός', 'Αρκαδία', 'Μικρά Ασία'}",3,"[(36.85252415, 25.89848696771565), (38.0368583, 23.6689264), (38.1846366, 23.5122768)]"
"Όσοι φίλοι μ' αγαπάτε, βερεσέ μη μου ζητάτε","{'Θεσπρωτία>Κωστάνα', 'Ιωάννινα>Μέγα Περιστέρι'}",2,"{'Ιωάννινα', 'Θεσπρωτία'}",2,"[(39.6639818, 20.8522784), (39.54401235, 20.308355368968883)]"
"Όσον καιρό μ' ωρμηνεύεις, ταττά μου, τόσες μύγες έχαψεν ο σκύλος","{'Ζάκυνθος', 'Λακωνία'}",2,"{'Ζάκυνθος', 'Λακωνία'}",2,"[(37.78913845, 20.790089567090195), (36.76027945, 22.79046431389755)]"
Όταν γεράση το δεντρί κακή εσπέρα ημέρα του,"{'Ζάκυνθος', 'Λακωνία'}",2,"{'Ζάκυνθος', 'Λακωνία'}",2,"[(37.78913845, 20.790089567090195), (36.76027945, 22.79046431389755)]"
Όταν γεράση το δεντρί ξεράδια δεν το λείπουν,"{'Αδριανούπολη', 'Επτάνησος'}",2,"{'Αδριανούπολη', 'Επτάνησος'}",2,"[(41.6759327, 26.5587225), (38.8351105, 20.7094392)]"
Όταν διψά η αυλή σου όξω νερό μη χύνης,"{'Μάνη', 'Κρήτη>Σητεία>Σκοπή'}",2,"{'Μάνη', 'Κρήτη'}",2,"[(41.4097472, 26.4024952), (35.3084952, 24.46334231842296)]"
"Όταν είν' ο Δεσπότης, παπάς δε βλογάει","{'Λακωνία', 'Θεσσαλία'}",2,"{'Θεσσαλία', 'Λακωνία'}",2,"[(39.5594194, 21.6848495), (36.76027945, 22.79046431389755)]"
"Όταν θέλη η νύφη κι ο γαμπρός, τύφλα νάχη ο πεθερός","{'Μεσσηνία>Μανιάκι', 'Φιλιππούπολη'}",2,"{'Μεσσηνία', 'Φιλιππούπολη'}",2,"[(36.986899050000005, 21.82712495001949), (39.6327644, 22.3965233)]"
